size	NBB	tLIN	tAFK	tFWM	tFWMI	tBSI	Check
4	3	187911	39616	373920	65277	143137	[0]
4	3	256702	41538	389535	65760	143199	[0]
4	3	133883	39319	425727	65469	143736	[0]
4	2	248966	51802	346502	71470	146968	[0]
4	3	231450	55146	384446	77623	151718	[0]
4	3	269265	47634	473889	72088	173828	[0]
4	3	259565	41151	435005	85658	156008	[0]
4	3	278645	41927	358281	67936	159503	[0]
4	3	215419	40364	342909	65477	146211	[0]
4	3	160562	39268	336970	65565	144721	[0]
4	3	195414	39927	439750	67639	144875	[0]
4	3	171963	39383	301921	66224	142915	[0]
4	3	233018	39177	264741	65799	143153	[0]
4	3	237627	39152	406502	66108	146715	[0]
4	3	206575	40169	357653	66078	145157	[0]
4	3	201259	40702	361738	66586	144231	[0]
8	6	317227	42237	452275	66288	207491	[0]
8	4	323500	45443	283086	66559	215815	[0]
8	5	309062	41798	384851	68661	203484	[0]
8	4	346827	44529	357659	66577	216057	[0]
8	6	283445	41055	427295	65679	202633	[0]
8	6	301172	40735	358635	65621	205507	[0]
8	5	320662	45084	411172	66516	201890	[0]
8	6	265696	39180	406487	65423	204451	[0]
8	5	309671	39471	365427	66180	202036	[0]
8	6	202704	39505	441763	66623	205033	[0]
8	5	233582	40384	358790	66475	202827	[0]
8	6	273044	39666	377105	66205	203977	[0]
8	5	330048	39396	451831	65520	203888	[0]
8	5	289993	39767	281180	66743	202791	[0]
8	5	268659	39499	309524	65725	204632	[0]
8	5	281444	40015	283786	66437	202768	[0]
8	6	302789	39183	352811	66156	201422	[0]
8	6	308059	39027	376154	65702	201820	[0]
16	9	442510	39580	317718	65301	264977	[0]
16	8	436854	39073	418978	65747	265740	[0]
16	8	439624	39807	417207	73305	270749	[0]
16	8	401992	43218	467468	70088	266487	[0]
16	9	403467	39204	420402	68028	278736	[0]
16	6	433037	41316	420588	65905	273429	[0]
16	9	421806	51086	463239	70990	283213	[0]
16	7	469100	45750	483716	74192	296611	[0]
16	9	439895	41317	441654	65660	282454	[0]
16	6	444986	41310	458760	68016	272380	[0]
16	7	442174	41026	421521	67762	268977	[0]
16	8	441879	41282	442841	67764	270610	[0]
16	8	436130	41778	443673	66773	272679	[0]
16	9	484466	42189	443198	67252	299236	[0]
16	8	494577	49490	445904	85175	296114	[0]
16	7	426544	39317	467433	65810	267360	[0]
16	7	420065	40167	329921	67061	267848	[0]
16	7	423651	39326	365396	65136	266801	[0]
16	7	414753	39627	377220	66132	265158	[0]
16	7	393620	39944	424996	66844	267705	[0]
32	8	545760	39793	488846	65771	105461	[0]
32	8	510589	39839	500260	66300	105222	[0]
32	8	533217	39244	474963	65697	104811	[0]
size	NBB	tLIN	tAFK	tFWM	tFWMI	tBSI	Check
4	3	235347	46372	474005	74434	160198	[25146390]
4	3	316184	57852	416810	90142	181623	[33738621]
4	3	272656	57237	365051	88671	163051	[54474733]
4	3	257536	46790	441876	71221	156361	[39407532]
4	3	227749	45730	362347	74950	153532	[43764753]
4	3	218932	84519	441474	78171	169222	[26908402]
4	3	200090	45588	346297	74082	159391	[73152523]
4	2	204790	50767	416521	84410	173936	[64442137]
4	3	240041	43852	479844	74514	161727	[37788894]
4	2	246547	45561	351807	73751	158785	[66065780]
4	2	282437	49035	385591	79034	169162	[60453821]
4	3	203833	45019	399445	73054	161903	[70688028]
4	3	245096	45928	393377	72561	154651	[63035315]
4	2	254105	45189	354955	74640	154161	[58897774]
4	3	261374	44245	461721	72324	152660	[40813922]
4	3	263172	45641	431588	65712	141577	[36161233]
4	3	243031	38842	327651	65826	143415	[55811285]
8	6	294134	38885	331378	80466	201713	[151301452]
8	4	321737	38817	386778	64674	202370	[147228397]
8	5	300125	39133	383366	70543	201013	[113271203]
8	5	286785	39095	419901	69863	200441	[137307465]
8	6	273297	39572	433046	65133	202273	[111909759]
8	4	274384	38971	386573	65498	200067	[148111570]
8	5	284693	39095	440685	65751	201922	[115843092]
8	7	261315	39316	342676	76399	207438	[128421340]
8	5	250006	38906	425186	65662	200810	[102270221]
8	6	279740	39044	456612	65122	201890	[120879946]
8	6	260947	41171	414407	65365	204286	[181115712]
8	6	255953	39551	411086	67084	202677	[119634838]
8	4	304742	39213	274046	65457	205717	[121339324]
8	6	290034	39323	433139	65830	202106	[147250469]
8	5	321688	39082	422644	65292	202387	[127130546]
8	5	280919	38959	359611	66306	208187	[133134429]
8	5	328150	39548	363429	66856	202416	[88068963]
8	6	268510	38996	279113	73051	202380	[148262145]
16	7	430385	39093	432433	66828	266220	[255672949]
16	7	441165	39106	430907	65275	262768	[261439804]
16	7	376493	39287	427030	65442	263690	[255552537]
16	7	422086	39630	434343	65143	262920	[239107260]
16	8	441373	39266	433308	66226	264891	[281395003]
16	6	432468	39299	432705	66111	263336	[256610196]
16	7	390109	40018	436844	64841	262795	[355260398]
16	8	419458	39231	424116	65774	262912	[248382084]
16	7	420399	39371	421253	66746	264045	[295546485]
16	8	427396	39316	440283	64635	264080	[265335225]
16	6	419679	40027	424274	64912	263536	[235315366]
16	7	433312	39427	441006	65552	268536	[243251384]
16	7	424859	41070	357131	67360	264198	[270884485]
16	7	436014	39384	435340	65619	270733	[242388493]
16	8	446259	53449	448471	64616	266593	[294473736]
16	8	428272	41041	446679	65338	263458	[272949059]
16	7	410162	39043	445764	71615	261330	[263106105]
16	8	399714	40064	369026	65731	261945	[190537425]
16	5	423918	39275	352431	67181	264421	[241548145]
16	7	407693	40448	370169	64586	262117	[226775669]
32	8	533825	41827	485024	69183	104250	[536268479]
32	8	540999	39140	559662	65484	104091	[491054729]
